69.172.201.193;www.oddsring.com;https://www.oddsring.com/sportsbook;ФНС;2-6-27/ 2015-12-01-201-АИ;2016-02-04
104.28.10.112 | 104.28.11.112 | 2606:4700:3034::681c:b70 | 2606:4700:3035::681c:a70 | 2606:4700:30::681c:a70 | 2606:4700:30::681c:b70;www.odesse.net;https://www.odesse.net/novosti/item/28800-vladimir-tokarev-i-ego-ugo-hugo-boss-yuriy-reylyan-kak-vorovat-dlya-deripaski-i-ne-sidet;суд;2-3232/19;2019-05-20
104.28.10.112 | 104.28.11.112 | 2606:4700:3034::681c:b70 | 2606:4700:3035::681c:a70 | 2606:4700:30::681c:a70 | 2606:4700:30::681c:b70;www.odesse.net;https://www.odesse.net/novosti/item/28805-kak-tokarev-kapital-v-slepoy-trast-otpravlyal;суд;2-3232/19;2019-05-20
104.28.10.112 | 104.28.11.112 | 2606:4700:3034::681c:b70 | 2606:4700:3035::681c:a70 | 2606:4700:30::681c:a70 | 2606:4700:30::681c:b70;www.odesse.net;https://www.odesse.net/novosti/item/28808-vladimir-tokarev-mutnye-shemy-s-kriminalnym-dushkom;суд;2-3232/19;2019-05-20
50.115.172.10;www.offeraaa.ru;https://www.offeraaa.ru/products/Replica-Dolce&Gabbana-Shorts&Pants--For-Men-DGMenShots-05.html;суд;2а-3793/2019;2019-07-11
104.16.89.158 | 104.16.90.158 | 104.16.91.158 | 104.16.92.158 | 104.16.93.158;www.ohmbet.com;https://www.ohmbet.com/#/;ФНС;2-6-27/2016-09-12-78-АИ;2016-10-11
87.117.250.214;www.ohmymarathon.win;https://www.ohmymarathon.win/su/siteaccess.htm;ФНС;2-6-27/2016-02-12-22-АИ;2016-04-11
172.105.211.79;www.ohoter.ru;https://www.ohoter.ru/2590-osobennosti-ohoty-na-kabana-s-petlyami.html;суд;2а-65/2020;2020-01-14
172.105.211.79;www.ohoter.ru;https://www.ohoter.ru/616-petlya-samolov-na-medvedya.html;суд;2а-30/2020;2020-01-14
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/channel/UC1z5F6VuvkFscTfpScNvgnQ;Генпрокуратура;27-31-2015/Ид4082-15 ;2015-12-04
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UC3sJCZlaNLY900Eat-uoi4Q;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
